SIFKO,SIFOB,IMEOB
110,80,Murska Sobota
111,80,Murska Sobota
112,80,Murska Sobota
113,80,Murska Sobota
114,10,Tišina
115,10,Tišina
116,10,Tišina
1,161,Hodoš/Hodos
2,78,Moravske Toplice
3,33,Šalovci
4,33,Šalovci
5,33,Šalovci
6,33,Šalovci
7,31,Gornji Petrovci
8,31,Gornji Petrovci
9,31,Gornji Petrovci
10,31,Gornji Petrovci
11,31,Gornji Petrovci
12,31,Gornji Petrovci
13,31,Gornji Petrovci
14,31,Gornji Petrovci
15,31,Gornji Petrovci
16,31,Gornji Petrovci
17,33,Šalovci
18,161,Hodoš/Hodos
19,33,Šalovci
20,31,Gornji Petrovci
21,31,Gornji Petrovci
22,31,Gornji Petrovci
23,56,Kuzma
24,56,Kuzma
25,56,Kuzma
26,56,Kuzma
27,56,Kuzma
28,105,Rogašovci
29,105,Rogašovci
30,105,Rogašovci
31,105,Rogašovci
32,105,Rogašovci
33,105,Rogašovci
34,105,Rogašovci
35,105,Rogašovci
36,105,Rogašovci
38,158,Grad
39,158,Grad
40,97,Puconci
41,97,Puconci
42,97,Puconci
43,158,Grad
44,97,Puconci
45,158,Grad
46,158,Grad
47,158,Grad
48,105,Rogašovci
49,105,Rogašovci
50,152,Cankova
51,152,Cankova
52,97,Puconci
53,97,Puconci
54,97,Puconci
55,97,Puconci
56,97,Puconci
57,31,Gornji Petrovci
58,97,Puconci
59,97,Puconci
60,97,Puconci
61,97,Puconci
62,97,Puconci
64,97,Puconci
73,97,Puconci
74,97,Puconci
75,97,Puconci
76,97,Puconci
77,97,Puconci
78,78,Moravske Toplice
79,97,Puconci
80,78,Moravske Toplice
81,78,Moravske Toplice
82,78,Moravske Toplice
83,78,Moravske Toplice
84,78,Moravske Toplice
85,78,Moravske Toplice
86,78,Moravske Toplice
87,78,Moravske Toplice
88,78,Moravske Toplice
89,78,Moravske Toplice
90,78,Moravske Toplice
91,78,Moravske Toplice
92,78,Moravske Toplice
93,78,Moravske Toplice
94,78,Moravske Toplice
95,78,Moravske Toplice
96,78,Moravske Toplice
97,78,Moravske Toplice
98,78,Moravske Toplice
99,78,Moravske Toplice
100,78,Moravske Toplice
101,78,Moravske Toplice
102,78,Moravske Toplice
103,78,Moravske Toplice
104,80,Murska Sobota
105,80,Murska Sobota
106,78,Moravske Toplice
107,78,Moravske Toplice
108,80,Murska Sobota
109,80,Murska Sobota
158,59,Lendava/Lendva
159,187,Velika Polana
160,187,Velika Polana
161,59,Lendava/Lendva
162,59,Lendava/Lendva
37,158,Grad
164,59,Lendava/Lendva
165,59,Lendava/Lendva
166,59,Lendava/Lendva
167,59,Lendava/Lendva
168,59,Lendava/Lendva
169,59,Lendava/Lendva
170,59,Lendava/Lendva
171,195,Apače
172,195,Apače
